Ref,Val,Package,PosX,PosY,Rot,Side
"R15","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",37.700000,71.880000,-90.000000,top
"R16","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",32.325000,71.905000,-90.000000,top
"R17","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",14.600000,71.905000,-90.000000,top
"R18","10","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",9.150000,71.880000,-90.000000,top
"U1","XL7015","TO-252-5_TabPin3",59.010000,8.850000,0.000000,top
"U3","ACS712-20A","SOIC-8_3.9x4.9mm_P1.27mm",59.300000,88.930000,0.000000,top
"U4","ACS712-20A","SOIC-8_3.9x4.9mm_P1.27mm",36.100000,88.930000,0.000000,top
"U5","ACS712-20A","SOIC-8_3.9x4.9mm_P1.27mm",13.050000,88.930000,0.000000,top
"U6","IR2104","SOIC-8_3.9x4.9mm_P1.27mm",59.250000,61.330000,180.000000,top
"U7","IR2104","SOIC-8_3.9x4.9mm_P1.27mm",36.150000,61.330000,180.000000,top
"U8","IR2104","SOIC-8_3.9x4.9mm_P1.27mm",13.000000,61.280000,180.000000,top
